"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"MAP4K4",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
"NEK5",1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"NTRK1",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
"PAK1",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"PGK1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
"PIM2",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1
"PKDCC",0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"PLK2",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"PLK5",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"POMK",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1
"PRKX",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
"STK26",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
"STK3",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
"STK32A",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"STK39",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"STYK1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
"TSSK6",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1
"VRK1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
"WNK2",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"ADPGK",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
"AK5",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"BLK",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"CAMK1D",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"CASK",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"CDK3",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"CKMT2",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"HCK",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"LCK",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"MAP3K9",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
"MAPK13",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"MATK",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"NEK8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
"NRK",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"NTRK2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
"NUAK1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
"NUAK2",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"PCK1",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
"PCK2",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
